model,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
xgboost,0.7553116808435959,0.003998619060780747,0.72648057755276,0.0043308464586450735,0.7252510730748366,0.004626482628260363,0.7731958762886598,0.7416265631647591,0.7409304507215175,0.7743923414038941,0.5781423722821627
hist_gradient_boosting,0.7598136959839087,0.009125714417470138,0.7288819094967763,0.011761974932910629,0.7287243389671723,0.011154812678684864,0.7628865979381443,0.7248660891762393,0.7257546626685997,0.761523398759147,0.6117186130872126
random_forest,0.7404949851758363,0.008324660717413399,0.697269181903354,0.009994440526474569,0.6993865026674043,0.009446644840660486,0.7525773195876289,0.7031639919374525,0.7025996981601864,0.741952931078416,0.6856456436586603
extra_trees,0.7314859761668272,0.0028613294976535396,0.6774713983434849,0.007066994543840378,0.6831435292638415,0.004419165321496535,0.7525773195876289,0.6985341298237538,0.7002181870123377,0.739850681404147,0.7059994245111639
multinomial_logistic_regression,0.6767585490989747,0.010373281396641535,0.6530377165775464,0.007632895284463518,0.6538446700262389,0.009091019369038162,0.7164948453608248,0.687684214564197,0.6851155280761073,0.7245508478798408,0.9725210935094635
dummy_most_frequent,0.44623346751006326,0.0004066168954494149,0.20569910207073483,0.00012957793314762807,0.3333333333333333,0.0,0.46134020618556704,0.3333333333333333,0.2104644326866549,0.29128711431116927,19.415266902900733
