cutoff,model,accuracy,balanced_accuracy,macro_f1,weighted_f1
45.0,extra_trees,0.6356164383561644,0.5759760098164426,0.5708622176899731,0.6165372604433259
55.0,extra_trees,0.6712328767123288,0.6149575539027872,0.6097143125781527,0.6541442675643738
65.0,random_forest,0.6904109589041096,0.6518756416998472,0.6520536193668985,0.6869840568205577
75.0,random_forest,0.7506849315068493,0.7369443818395812,0.7319139794758315,0.7564512658681776
80.0,xgboost,0.7698630136986301,0.743932336663912,0.7425813720555098,0.7717718897667476
