competition,matches,avg_total_goals
England,380,2.6789473684210527
France,380,2.718421052631579
Italy,380,2.6763157894736844
Spain,380,2.694736842105263
Germany,306,2.7941176470588234
World_Cup,64,2.59375
European_Championship,51,2.0784313725490198
