feature,importance_mean,importance_std
diff_goals_scored_by_event_team,0.26602036846157323,0.021487991365904287
home_current_goals,0.02499543135859166,0.003666176920306398
diff_penalties,0.02331244665147565,0.012557020537560535
diff_goal_conversion_event_team,0.014426162504849026,0.004743761897513832
home_tag_not_accurate,0.008915347561717635,0.0029207601810732255
home_duel_loss_rate,0.005480837330376409,9.839379135520053e-05
diff_subevent_reflexes,0.004998558488630756,0.003623639833562792
diff_subevent_ball_out_of_the_field,0.004822702117620437,0.0017581085197787194
away_throw_ins,0.004346728332764949,0.0013109084612198234
diff_subevent_penalty,0.004333530889479608,0.001497524217917244
home_mean_progression,0.003913584205361409,0.003806021804996385
home_penalties,0.0037986078740530616,0.0
home_defender_share,0.00372367043960522,0.002834118029467835
home_subevent_touch,0.0037165159421032046,0.0024503804970299916
diff_mean_start_x,0.0036745438966638623,0.00010129781335457602
home_starting_prior_playerank_median,0.003618035792863883,0.002316610238960242
home_event_foul,0.0033707040793242936,0.0019871867084512683
home_events,0.003216361391434286,0.0029919641317269767
diff_clearances,0.0031813398038556206,0.00285849696272466
diff_crosses,0.0030963276001402694,0.0021083090802662308
home_high_passes,0.003008526038473858,0.0007757181754574346
ref_prior_home_win_rate,0.002898839279706511,0.0004498842971732753
diff_subevent_launch,0.002873467662723517,0.0014367338313617584
home_progressive_events,0.0027290360976778725,0.0017681369614639948
diff_tag_head_or_body,0.002726078113735664,0.0015231854985432221
away_event_goalkeeper_leaving_line,0.0027056187677108046,0.0013561055741047906
diff_event_goalkeeper_leaving_line,0.0026936418187426094,0.001443265948325565
away_forward_share,0.0026738971311198734,0.0
diff_subevent_clearance,0.0026738971311198734,0.0
diff_tag_counter_attack,0.0026738971311198734,0.0
season_id,0.0023640598534825363,0.0012597384196738489
away_subevent_free_kick_cross,0.002139117704895899,0.0010695588524479494
away_subevent_throw_in,0.002139117704895899,0.0010695588524479494
home_mean_start_y,0.002139117704895899,0.0010695588524479494
away_smart_passes,0.002139117704895899,0.0010695588524479494
diff_defender_share,0.002139117704895899,0.0010695588524479494
away_prior_goals_against_per_match,0.002139117704895899,0.0010695588524479494
away_shots_on_target_or_post,0.002139117704895899,0.0010695588524479494
home_tag_key_pass,0.002092602517804365,0.0017086028010280148
home_avg_weight,0.002050343556456857,0.0016758754525272265
away_tag_right_foot,0.0020423621168006224,8.221392225009616e-05
diff_subevent_foul,0.0020204507723456944,0.004774757775823384
home_goals_scored_by_event_team,0.0019598773102637913,0.0011266946719276382
home_subevent_throw_in,0.001920436566407857,0.0015069211294240325
diff_goal_events_for,0.001847173441097061,0.0024802087892204904
away_subevent_reflexes,0.0018292804272585616,0.0015490344804867172
home_final_third_event_rate,0.0016667752623405363,0.0008333876311702682
home_starting_prior_playerank_mean,0.0016616214722094957,0.0014224117256041917
home_prior_goals_against_per_match,0.0016256683012154881,0.0008167227435566636
home_tag_missed_ball,0.001604338278671924,0.0013099367191870992
home_tag_goal,0.001604338278671924,0.0013099367191870995
diff_final_third_entries,0.001604338278671924,0.0013099367191870992
diff_final_third_events,0.001604338278671924,0.0013099367191870992
home_duel_win_rate,0.001604338278671924,0.0013099367191870992
diff_duels_won,0.001604338278671924,0.0013099367191870992
away_tag_goal,0.001604338278671924,0.0013099367191870995
away_corners,0.001604338278671924,0.0013099367191870992
home_right_foot_share,0.001604338278671924,0.0013099367191870992
away_current_goals,0.0014316159372855352,0.0027140802343376094
diff_tag_high,0.0014078738516857259,0.0013164125109579072
home_tag_head_or_body,0.00139506834520291,0.0017086028010280152
home_mean_end_y,0.0013950513010750009,0.0013154446933432112
diff_mean_start_y,0.0013935272632224827,0.0017966429973025027
home_avg_age,0.0013918983778240523,0.0013197456493686149
ref_prior_away_win_rate,0.0013884876110213274,0.0012002375874761227
home_box_entries,0.0013856571401838825,0.0016152080399119515
away_avg_height,0.0013528093838554023,0.001658193110921124
diff_avg_weight,0.0013338391432452744,0.003287539609501356
home_period_1h,0.0013096028157161266,0.0016952793648463283
diff_tag_opportunity,0.001292203806015979,0.002584407612031958
home_tag_high,0.0012500814467554023,0.0010206872271569711
away_final_third_entries,0.001189107030686154,0.0015678243812751564
away_event_interruption,0.001131150079911647,0.002272341375298451
home_event_others_on_the_ball,0.0011134083061297372,0.0027078800886748827
diff_tag_not_accurate,0.0010695588524479494,0.0013099367191870992
home_fouls,0.0010695588524479494,0.0013099367191870995
diff_period_2h,0.0010695588524479494,0.0013099367191870995
away_duels_won,0.0010695588524479494,0.0013099367191870995
home_subevent_high_pass,0.0010695588524479494,0.0013099367191870995
diff_duel_loss_rate,0.0010695588524479494,0.0013099367191870992
away_duels_lost,0.0010460303524573833,0.0019752869650007283
away_tag_fair_play,0.0010263522843086737,0.0013475256484648715
home_smart_passes,0.0010263522843086737,0.0013475256484648715
diff_touches,0.0009853943372025499,0.0012990671566989694
home_avg_height,0.0009713734989898803,0.0016948197287894754
diff_event_save_attempt,0.0009063087696185689,0.0013702257066137622
diff_event_free_kick,0.0008508777139599078,0.0015411050141579993
home_duels_won,0.0008082605180098179,0.0030244732326430795
diff_event_foul,0.00076896181974766,0.0014444381100635348
diff_duels_lost,0.0007597215748106123,0.0015194431496212246
home_own_goals_committed,0.0007597215748106123,0.0015194431496212246
diff_tag_red_card,0.000697534172601455,0.0013950683452029103
diff_mean_end_y,0.0006873489186597804,0.0014170541977224355
diff_event_others_on_the_ball,0.0006751603475416035,0.0014607353184213996
diff_prior_goals_against_per_match,0.0006543276044621793,0.0014191402444524775
diff_subevent_throw_in,0.0006543276044621793,0.0014191402444524773
home_prior_points_per_match,0.0006403480650335247,0.004475473379970927
home_subevent_reflexes,0.0006321965754718661,0.0017141855909995106
diff_event_interruption,0.0006111210363229036,0.0014415161337984882
home_duels_lost,0.0005666346136243838,0.0012441023218244945
away_goal_conversion_event_team,0.000566155700561155,0.002326513828821907
diff_tag_sliding_tackle,0.0005347794262239747,0.0010695588524479494
home_tag_right_foot,0.0005347794262239747,0.0010695588524479494
home_clearances,0.0005347794262239747,0.0010695588524479494
away_tag_duel_neutral,0.0005347794262239747,0.0010695588524479494
away_subevent_foul,0.0005347794262239747,0.0010695588524479494
diff_subevent_acceleration,0.0005256555068361201,0.0013779029042381744
diff_tag_goal,0.0004961716088891955,0.0014348255372750474
home_subevent_free_kick,0.000491572858084699,0.0010943652664483316
diff_mean_progression,0.0004298052591491519,0.002876270063115013
away_event_foul,0.0004074083428392994,0.0010353669801956137
diff_progressive_event_rate,0.00040515972180614755,0.0011374501687299499
diff_progressive_events,0.00037202506928379897,0.001739639179210968
away_subevent_cross,0.0003642017747000237,0.0010557733878307745
home_mean_start_x,0.00032099520656074797,0.001074056094514253
away_tag_missed_ball,0.0003138574902832092,0.0023699802882736765
away_progressive_event_rate,0.00027065092214393347,0.0023772663306847134
diff_final_third_event_rate,0.00023857928782375915,0.0002921987591824068
ref_prior_matches,0.00023753680790867816,0.0017213457367581202
diff_tag_left_foot,0.00018285278201413124,0.0022132826316101873
diff_avg_age,0.0001376928028749669,0.00105924754287165
diff_tag_missed_ball,0.00010024762008533638,0.0008588570204318857
home_progressive_event_rate,7.608307577258166e-05,0.0014443117737936524
away_subevent_ball_out_of_the_field,1.8980834069881603e-05,3.7961668139763206e-05
diff_starting_prior_playerank_max,1.8980834069881603e-05,3.7961668139763206e-05
diff_profile_known_share,0.0,0.0
diff_starting_rank_missing_share,0.0,0.0
away_defender_share,0.0,0.0
away_gk_share,0.0,0.0
away_right_foot_share,0.0,0.0
away_left_foot_share,0.0,0.0
diff_tag_duel_neutral,0.0,0.0
home_tag_duel_won,0.0,0.0
away_tag_duel_won,0.0,0.0
diff_tag_duel_won,0.0,0.0
home_tag_fair_play,0.0,0.0
away_clearances,0.0,0.0
home_corners,0.0,0.0
diff_corners,0.0,0.0
diff_tag_dangerous_ball_lost,0.0,0.0
home_tag_direct,0.0,0.0
away_tag_direct,0.0,0.0
diff_tag_direct,0.0,0.0
home_tag_duel_lost,0.0,0.0
diff_tag_duel_lost,0.0,0.0
home_tag_duel_neutral,0.0,0.0
home_event_share,0.0,0.0
away_event_share,0.0,0.0
event_share_diff,0.0,0.0
pass_share_diff,0.0,0.0
diff_left_foot_share,0.0,0.0
diff_right_foot_share,0.0,0.0
diff_gk_share,0.0,0.0
diff_midfielder_share,0.0,0.0
away_through_passes,0.0,0.0
diff_through_passes,0.0,0.0
home_throw_ins,0.0,0.0
diff_throw_ins,0.0,0.0
away_touches,0.0,0.0
away_high_passes,0.0,0.0
away_mean_progression,0.0,0.0
home_passes_per_minute,0.0,0.0
away_passes_per_minute,0.0,0.0
diff_passes_per_minute,0.0,0.0
home_period_2h,0.0,0.0
away_mean_start_y,0.0,0.0
diff_events,0.0,0.0
home_events_per_minute,0.0,0.0
away_events_per_minute,0.0,0.0
diff_events_per_minute,0.0,0.0
away_final_third_event_rate,0.0,0.0
away_prior_goals_for_per_match,0.0,0.0
diff_prior_matches,0.0,0.0
home_starting_rank_missing_share,0.0,0.0
away_red_cards_total,0.0,0.0
home_tag_own_goal,0.0,0.0
away_tag_own_goal,0.0,0.0
diff_tag_own_goal,0.0,0.0
home_tag_red_card,0.0,0.0
away_tag_red_card,0.0,0.0
diff_tag_right_foot,0.0,0.0
home_tag_second_yellow_card,0.0,0.0
home_free_kicks,0.0,0.0
diff_free_kicks,0.0,0.0
home_event_shot,0.0,0.0
diff_event_shot,0.0,0.0
home_leading_at_cutoff,0.0,0.0
away_leading_at_cutoff,0.0,0.0
home_offsides,0.0,0.0
away_offsides,0.0,0.0
diff_offsides,0.0,0.0
away_own_goals_committed,0.0,0.0
diff_own_goals_committed,0.0,0.0
home_pass_accuracy,0.0,0.0
home_tag_through,0.0,0.0
diff_tag_through,0.0,0.0
home_through_passes,0.0,0.0
away_tag_second_yellow_card,0.0,0.0
diff_tag_second_yellow_card,0.0,0.0
