,precision,recall,f1-score,support
away_win,0.7962962962962963,0.7962962962962963,0.7962962962962963,108.0
draw,0.5288461538461539,0.632183908045977,0.5759162303664922,87.0
home_win,0.869281045751634,0.7823529411764706,0.8235294117647058,170.0
accuracy,0.7506849315068493,0.7506849315068493,0.7506849315068493,0.7506849315068493
macro avg,0.7314744986313614,0.7369443818395812,0.7319139794758315,365.0
weighted avg,0.7665408031846389,0.7506849315068493,0.7564512658681776,365.0
